"A01"	"A02"	"A03"	"A04"	"A05"	"A06"	"A07"	"A08"	"A09"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"D30"	"D31"	"D32"	"D34"	"D35"	"D36"	"D37"	"D38"	"D39"	"D40"
"HMR_4370"	5.0821306009359e-06	3.3241966122014e-06	4.00240465650851e-06	2.74641165735978e-06	5.02021603233417e-06	2.79311265856653e-06	4.11068609542665e-06	2.71352130820814e-06	3.34916197558008e-06	3.55202588097854e-06	4.74083410041265e-06	4.63342722129289e-06	5.36267487574864e-06	5.92237850532364e-06	5.74930402616117e-06	3.27815521123751e-06	3.39785184681118e-06	3.30597410996824e-06	4.75001305170206e-06	4.39131877633561e-06	5.66161453651589e-06	3.55158731601067e-06	4.92467958098499e-06	4.68945737831858e-06	5.39518344585411e-06	4.09459427955572e-06	4.31367249770063e-06	3.88464575237008e-06
"HMR_4371"	0.000467490267649804	0.000304665006619779	0.000392847600829579	0.000395721199558816	0.000447823371763539	0.000209378176578353	0.00035921331539741	0.000387825833355514	0.000408029818567732	0.000409453312054319	0.000367851674781332	0.000468666643946746	0.000504530558730023	0.000489314327305865	0.000249669507592319	0.000325796510919421	0.000332861879001792	0.000358774795463868	0.000555599576040922	0.000473375704548461	0.000510110228992271	0.000362475893166553	0.000405472744353422	0.000400013815115995	0.00054554104172738	0.00027219880867116	0.000468541851772021	0.00038575880762364
"HMR_4372"	0.000467490268913734	0.000304665007884151	0.00039284760209599	0.000395721200822037	0.000447823373027048	0.000209378177903594	0.000359213316661418	0.000387825834619378	0.000408029819832199	0.000409453313318349	0.000367851676046233	0.000468666645211002	0.000504530559994366	0.000489314328571215	0.000249669519652473	0.000325796512183446	0.000332861880266321	0.000358774796728489	0.000555599577305001	0.00047337570581286	0.000510110230257076	0.000362475894489741	0.000405472745618677	0.000400013816382441	0.000545541042992114	0.000272198809937783	0.000468541853036545	0.000385758808948639
"HMR_4373"	-0.40469228778642	-0.352984858239353	-0.365074040086032	-0.357099098862116	-0.370495575794486	-0.361005855448055	-0.365033176091975	-0.408545170558049	-0.393398785842016	-0.380717381905989	-0.381312317383714	-0.365139047596443	-0.423604696316332	-0.395257155266117	-0.318838272334384	-0.381267171209702	-0.365554858356101	-0.365080821288213	-0.428491855278425	-0.427680721195411	-0.413536454645905	-0.333975173792084	-0.418340150183164	-0.382174255114248	-0.427371758062978	-0.331170919444902	-0.414254159393547	-0.339866439150469
"HMR_4375"	-0.17298915329341	-0.147969087098256	-0.153251623822694	-0.153171873934674	-0.158205680158125	-0.145826576425951	-0.153442719487624	-0.181022813075185	-0.167633399359486	-0.167516779903374	-0.155066756424077	-0.15468639462082	-0.183096216928046	-0.169191868166297	-0.120387101023189	-0.166116234498163	-0.153188233610581	-0.154308588093223	-0.191260161708746	-0.184571323365576	-0.174752121845316	-0.135417010744524	-0.175769864668153	-0.160026483505393	-0.177136703815728	-0.135152199995681	-0.17576746780265	-0.136417630156019
"HMR_4377"	4.97467624877637e-05	3.7796612995204e-05	5.51155090305066e-05	3.1348521912414e-05	5.56967044804826e-05	5.15995985374337e-05	4.04911673145987e-05	6.06077745869997e-05	6.35913566030308e-05	6.76126616481435e-05	5.28979894852127e-05	3.26052903241103e-05	5.01094151813352e-05	2.39443687862129e-05	2.38216280218331e-05	3.86703257332574e-05	4.93349934618538e-05	5.13066923605901e-05	7.00198706357207e-05	5.42211130713344e-05	4.25813513772157e-05	6.14781615874766e-05	2.75446937522351e-05	4.32677311304386e-05	2.32667489703618e-05	5.77977806379845e-05	6.01398028878081e-05	5.58206930345754e-05
"HMR_4381"	-0.0452346463176107	-0.0368812292033218	-0.041273353407756	-0.0418799157985662	-0.0387145563880958	-0.0419299672383965	-0.0351691022594807	-0.0419560410311924	-0.0449945236464536	-0.0486808940111284	-0.038859263402895	-0.0313887242601342	-0.0430903492075129	-0.040571287831265	-0.0202937564579024	-0.0405011282435695	-0.0375855540793707	-0.0368153759766218	-0.0466691298946217	-0.0402870548845899	-0.0327612518015401	-0.0341014252917497	-0.0398955125589031	-0.0325469545931334	-0.0287553391545137	-0.0284635282790521	-0.0374661164164882	-0.0328418168626249
"HMR_4391"	0.181053456518514	0.160901498454659	0.163354545572192	0.167290201285209	0.167489554133709	0.169869547937698	0.162268649642081	0.175243203516928	0.177919094380237	0.173042689223317	0.174155471860853	0.158499929723347	0.182056229422682	0.170103736024816	0.150333565052458	0.174565225370704	0.167991091341381	0.16393662392764	0.185527921093635	0.187964456515403	0.177678084196316	0.150414612702811	0.186737762029718	0.165629173481546	0.177975007520898	0.145805151151828	0.179878876371025	0.15293076463219
"HMR_4394"	0.0531816629618549	0.0447049503404356	0.0456359825966492	0.0442617085985718	0.0485655081410321	0.0476140517150447	0.04519358393868	0.0532405928628044	0.0503504541355053	0.0516834166185491	0.0486432201511368	0.0443947819174508	0.056251522941013	0.050096265388945	0.0381696816847073	0.0493082827166125	0.0471750046650221	0.0444219171529233	0.054898359470434	0.0548519234973084	0.0539778743762831	0.0390554999550072	0.052151114786278	0.0462233409398283	0.0555873951974247	0.0414973368904208	0.051389755791644	0.0386822720640272
"HMR_4396"	-0.0243053873078086	-0.0215481299453603	-0.0221450643034489	-0.0231104426536066	-0.0238006574863933	-0.019883002968491	-0.0224619613186898	-0.02377753832257	-0.0217264599127877	-0.0222687620905953	-0.0243762597281653	-0.0223287369068993	-0.0258654625047195	-0.0240282006653148	-0.023963012936471	-0.0247196069557411	-0.0228259181896889	-0.0229811202385599	-0.026273919372612	-0.026403813189643	-0.025326871572492	-0.0224626089933815	-0.0248842752143719	-0.0237246979813023	-0.0266616004920449	-0.0200413242357509	-0.0258289602411759	-0.0210110546593618
